t_bin,time_s,power_w
708,177.0,3024.575179717376
709,177.25,3124.0099938385474
710,177.5,3257.5505359760296
711,177.75,3004.1304869963387
712,178.0,3190.9592283766574
713,178.25,3013.1313307845
714,178.5,3173.1535792888108
715,178.75,3127.2376703214168
716,179.0,3140.412645356057
717,179.25,3272.1744943072417
718,179.5,3063.648468397425
719,179.75,2736.7705708087105
720,180.0,3057.295761487247
721,180.25,3083.3300673269296
722,180.5,2972.32538449086
723,180.75,3021.2271347186934
724,181.0,2988.5791676000854
725,181.25,3051.286905008705
726,181.5,3097.3189760624145
727,181.75,2961.7483698757505
728,182.0,2992.2301079665017
729,182.25,2985.9917559067794
730,182.5,3008.126733889916
731,182.75,3087.850151698962
732,183.0,3049.389450401124
733,183.25,2988.0464713535644
734,183.5,3018.6733080687295
735,183.75,2999.5361927255512
736,184.0,3211.571248392399
737,184.25,3108.721826890109
738,184.5,2973.488013332571
739,184.75,3067.5925153710336
740,185.0,3019.1587814057934
741,185.25,3118.000458658402
742,185.5,3043.3705471368185
743,185.75,3024.245056694372
744,186.0,2906.130522227259
745,186.25,3201.212768197399
746,186.5,3128.7503849078958
747,186.75,2924.2379041756835
748,187.0,3100.713247717933
749,187.25,2992.2763217821985
750,187.5,2997.5625834876237
751,187.75,3255.8482460812984
752,188.0,3037.175284798178
753,188.25,3115.645734097832
754,188.5,3001.550297363868
755,188.75,3101.1312894938696
756,189.0,3009.5822798287586
757,189.25,3043.4508659142166
758,189.5,3011.0825730159845
759,189.75,3137.3292370506956
760,190.0,2996.9255159429194
761,190.25,3013.2040384107686
762,190.5,3251.601238549124
763,190.75,3171.197854347355
764,191.0,2996.1484865317866
765,191.25,3135.379874711119
766,191.5,2834.1622809497453
767,191.75,3076.696590741221
768,192.0,3064.72734424837
769,192.25,3029.4564311601825
770,192.5,3024.180289948001
771,192.75,2993.0026488866692
772,193.0,2974.861223643436
773,193.25,3091.1994296929142
774,193.5,3056.6050936057545
775,193.75,2998.5712888794733
776,194.0,3068.7899974994416
777,194.25,2987.7728612127107
778,194.5,3054.0522468853474
779,194.75,3017.7694526797013
780,195.0,3043.436338718262
781,195.25,2867.6877478992437
782,195.5,3122.051535274131
783,195.75,2972.6099008594815
784,196.0,2996.649317737224
785,196.25,3024.356734225936
786,196.5,3184.394603807134
787,196.75,3005.4726301549467
788,197.0,2997.7702112514944
