t_bin,time_s,power_w
653,163.25,957.8913430108664
654,163.5,936.0223427670866
655,163.75,959.3105628028097
656,164.0,939.3822784884891
657,164.25,1284.7641052659646
658,164.5,1679.969993018897
659,164.75,1923.6133196902676
660,165.0,2775.3973036967254
661,165.25,2956.091064463098
662,165.5,2949.6372618671926
663,165.75,2962.4668395943454
664,166.0,2950.237203509698
665,166.25,2941.348195015165
666,166.5,2933.3492071995843
667,166.75,2995.5322554359377
668,167.0,2958.228626767257
669,167.25,2952.835488304571
670,167.5,2971.5313786005413
671,167.75,2943.5589579626753
672,168.0,3007.9888450063904
673,168.25,2970.101360095133
674,168.5,2979.227547154642
675,168.75,2970.239471994835
676,169.0,2984.3019587876142
677,169.25,2954.7923258333008
678,169.5,2952.75517763351
679,169.75,2964.762564687586
680,170.0,2931.079927958298
681,170.25,2926.9460620282475
682,170.5,2950.394283400394
683,170.75,2930.981003056967
684,171.0,2926.5441613594053
685,171.25,2951.570597851982
686,171.5,2976.570501524739
687,171.75,2956.7137590761913
688,172.0,2981.3351220693116
689,172.25,2994.7803476386603
690,172.5,3031.3799583095933
691,172.75,2952.9982810523056
692,173.0,2931.2435534200567
693,173.25,2942.76776955027
694,173.5,2931.734375110771
695,173.75,2947.843702358289
696,174.0,2934.5231143527217
697,174.25,3043.16425884671
698,174.5,2944.2630834499273
699,174.75,2917.6258172557586
700,175.0,2948.3535757305804
701,175.25,2962.914709919479
702,175.5,2701.0404385609468
703,175.75,2974.792183342891
704,176.0,2930.4547167731776
705,176.25,2931.8532562170058
706,176.5,2993.8931133179385
707,176.75,2953.3552445945766
708,177.0,2966.79770413841
709,177.25,2965.639608246297
710,177.5,2967.67536337086
711,177.75,2954.3318138733252
712,178.0,2948.4945264143967
713,178.25,2980.3358438079345
714,178.5,2941.0044709501135
715,178.75,2956.1579129963716
716,179.0,2970.3902396515514
717,179.25,2943.4075167240653
718,179.5,2915.0117425122253
719,179.75,2964.754633049852
720,180.0,2980.2351505020756
721,180.25,3021.634069355213
722,180.5,2911.522803622096
723,180.75,2969.287453055219
724,181.0,3002.3555389289086
725,181.25,2914.824115796787
726,181.5,2885.8290613777963
727,181.75,3011.013371306745
728,182.0,3017.8749071644706
729,182.25,2972.823532276201
730,182.5,2973.7512576655267
731,182.75,3018.269875798141
732,183.0,3027.814180383008
733,183.25,2961.772794359983
734,183.5,2956.522721501048
735,183.75,2952.0363762822076
736,184.0,2949.654200477057
737,184.25,2970.916021003648
738,184.5,2963.527108249523
739,184.75,2942.8715925338743
740,185.0,2980.5996747837194
741,185.25,2935.4577131229466
742,185.5,2947.7498443919912
743,185.75,3019.2043567353085
744,186.0,2906.36573549267
745,186.25,3008.342965608117
746,186.5,3034.473870106111
747,186.75,2973.6439696130587
748,187.0,2923.93923939874
749,187.25,2932.966032602695
750,187.5,2926.863543003671
751,187.75,2947.658703584262
752,188.0,2951.9060790987705
753,188.25,2914.0713597600297
754,188.5,2961.3522426329
755,188.75,3017.87001936922
756,189.0,2951.685410495611
757,189.25,2936.8733722270103
758,189.5,2948.951980403404
759,189.75,2978.729423158955
760,190.0,2959.21362445679
761,190.25,3020.8248265528314
762,190.5,3014.123133856169
763,190.75,2991.4104123476604
764,191.0,2984.952091759596
765,191.25,2981.410514421007
766,191.5,2907.2445957392806
767,191.75,3025.107449587097
768,192.0,2957.267967462743
769,192.25,2890.112127576378
770,192.5,2966.282253706812
771,192.75,2969.561879701179
772,193.0,2971.294798650097
773,193.25,2957.488467706919
774,193.5,3002.6039798526563
775,193.75,2940.881720124037
776,194.0,3027.192857768388
777,194.25,2982.429671090902
778,194.5,2941.471771204968
779,194.75,3010.5175990488624
780,195.0,3031.119607260392
781,195.25,2900.4619394537767
782,195.5,2964.5871720996324
783,195.75,3011.5466070970497
784,196.0,2899.491084445173
785,196.25,2972.5771348953895
786,196.5,2931.0388874661267
787,196.75,2871.4399128985306
788,197.0,2167.4486021871594
789,197.25,2922.9215693523984
790,197.5,1838.1897248174216
791,197.75,1990.0169691638953
792,198.0,2487.9320828444675
793,198.25,2971.6234187353093
794,198.5,2958.2664666538712
795,198.75,2977.861311115812
796,199.0,2908.555512768284
797,199.25,2958.686789587249
798,199.5,2965.155314216176
799,199.75,2909.441327895729
800,200.0,2975.7672852224778
801,200.25,2919.824518188789
802,200.5,2958.280112100415
803,200.75,2921.3881589799385
